Airborne survey data
Parameters for adjustment from linear analysis
    1.179000     0.172300    !std and mean
    0.004775                 !variance of measurement errors
    1.251400     0.194300    !mean and std
    0.000853                 !variance of measurement errors
    1.018400     0.150500    !mean and std
    0.005929                 !variance of measurement errors
379         !Total number of data points
xloc        yloc        dose        landuse
    3985.436      4370.381     -0.552842       2
    4260.444      4368.863     -0.568636       2
    3711.715      4603.016     -0.552842       2
    3713.002      4834.236     -0.537602       3
    3986.715      4601.489     -0.552842       2
    4261.716      4599.971     -0.568636       2
    3987.996      4832.709     -0.552842       2
    4262.989      4831.191     -0.552842       2
    4535.453      4367.354     -0.568636       2
    4810.461      4365.854     -0.568636       2
    4536.717      4598.463     -0.552842       2
    4811.718      4596.963     -0.537602       2
    4537.982      4829.682     -0.552842       2
    4812.975      4828.183     -0.537602       2
    4252.814      2981.990     -0.431798       2
    4526.605      2749.373     -0.494850       2
    4801.668      2747.874     -0.522879       2
    4802.924      2978.982     -0.508638       1
    4804.180      3210.090     -0.522879       1
    4530.397      3442.809     -0.537602       2
    4805.436      3441.309     -0.552842       2
    4806.692      3672.418     -0.602060       1
    4807.948      3903.526     -0.638272       1
    4809.205      4134.746     -0.602060       2
     108.954         0.871     -0.397940       1
     110.341       231.979     -0.397940       1
     385.489       230.333     -0.408935       1
     660.637       228.696     -0.468521       1
     935.785       227.068     -0.494850       1
    1210.933       225.450     -0.468521       1
    1486.081       223.840     -0.468521       1
    1761.229       222.240     -0.443697       1
    2036.377       220.649     -0.387216       1
    2311.525       219.067     -0.292430       1
    2586.673       217.495     -0.301030       1
    2861.821       215.932     -0.366532       1
    3136.969       214.377     -0.431798       1
    3412.116       212.832     -0.455932       1
    3687.264       211.297     -0.481486       1
    3962.412       209.770     -0.508638       1
    4237.560       208.253     -0.537602       1
    4512.707       206.745     -0.537602       1
    4787.855       205.246     -0.431798       2
     111.727       463.087     -0.387216       1
     386.868       461.441     -0.397940       1
     113.115       694.306     -0.337242       1
     388.247       692.659     -0.327902       1
     662.008       459.804     -0.408935       1
     937.149       458.176     -0.420216       1
     663.380       691.022     -0.327902       1
     938.513       689.395     -0.327902       1
     114.501       925.413     -0.301030       1
     389.626       923.767     -0.267606       1
     115.888      1156.521     -0.292430       1
     391.005      1154.875     -0.251812       1
     664.751       922.130     -0.244125       2
     939.876       920.502     -0.244125       2
     666.122      1153.238     -0.214670       2
     941.240      1151.610     -0.214670       2
    1212.289       456.557     -0.420216       1
    1487.429       454.948     -0.408935       1
    1213.645       687.776     -0.337242       1
    1488.778       686.167     -0.337242       1
    1762.569       453.348     -0.397940       1
    2037.710       451.757     -0.366532       1
    1763.910       684.566     -0.337242       1
    2039.043       682.975     -0.337242       1
    1215.001       918.884     -0.259637       2
    1490.126       917.274     -0.283997       1
    1216.357      1149.992     -0.229148       2
    1491.474      1148.382     -0.259637       2
    1765.251       915.674     -0.309804       1
    2040.375       914.083     -0.337242       1
    1766.591      1146.782     -0.292430       2
    2041.708      1145.191     -0.366532       2
    2312.850       450.175     -0.318759       1
    2587.990       448.602     -0.327902       1
    2314.175       681.394     -0.318759       1
    2589.308       679.821     -0.327902       2
    2863.130       447.039     -0.356547       1
    3138.270       445.485     -0.397940       1
    2864.440       678.258     -0.346787       2
    3139.572       676.703     -0.376751       1
    2315.500       912.501     -0.292430       1
    2590.625       910.929     -0.292430       2
    2316.825      1143.609     -0.259637       2
    2591.942      1142.036     -0.251812       2
    2865.750       909.365     -0.318759       2
    3140.874       907.811     -0.356547       2
    2867.059      1140.473     -0.301030       2
    3142.176      1138.919     -0.337242       2
    3413.410       443.940     -0.431798       1
    3688.550       442.404     -0.455932       1
    3414.705       675.158     -0.420216       1
    3689.837       673.622     -0.455932       1
    3963.690       440.877     -0.468521       1
    4238.830       439.360     -0.481486       1
    3964.969       672.096     -0.481486       1
    4240.102       670.578     -0.481486       1
    3415.999       906.266     -0.431798       1
    3691.123       904.730     -0.508638       1
    3417.293      1137.374     -0.443697       1
    3692.410      1135.838     -0.568636       1
    3966.248       903.203     -0.537602       1
    4241.372       901.686     -0.537602       1
    3967.526      1134.311     -0.568636       1
    4242.643      1132.793     -0.568636       1
    4513.970       437.852     -0.468521       1
    4789.110       436.353     -0.420216       2
    4515.234       669.070     -0.455932       1
    4790.366       667.571     -0.420216       1
    4516.497       900.178     -0.481486       1
    4791.621       898.679     -0.408935       1
    4517.760      1131.285     -0.508638       1
    4792.877      1129.786     -0.387216       1
     117.275      1387.741     -0.309804       2
     392.385      1386.094     -0.301030       2
     118.662      1618.849     -0.337242       2
     393.764      1617.202     -0.366532       1
     667.494      1384.457     -0.292430       2
     942.604      1382.829     -0.283997       1
     668.866      1615.565     -0.376751       1
     943.968      1613.937     -0.356547       1
     120.049      1849.957     -0.366532       1
     395.143      1848.311     -0.397940       1
     121.437      2081.176     -0.327902       1
     396.523      2079.530     -0.356547       1
     670.237      1846.673     -0.443697       1
     945.331      1845.046     -0.431798       1
     671.610      2077.893     -0.366532       1
     946.696      2076.265     -0.366532       1
    1217.713      1381.211     -0.283997       1
    1492.823      1379.601     -0.292430       1
    1219.069      1612.319     -0.337242       1
    1494.171      1610.709     -0.309804       1
    1767.932      1378.001     -0.309804       1
    2043.041      1376.410     -0.318759       2
    1769.273      1609.109     -0.301030       1
    2044.374      1607.518     -0.301030       2
    1220.425      1843.427     -0.356547       1
    1495.519      1841.817     -0.327902       1
    1221.782      2074.646     -0.346787       1
    1496.868      2073.036     -0.318759       2
    1770.613      1840.217     -0.292430       2
    2045.707      1838.626     -0.275724       2
    1771.954      2071.436     -0.301030       2
    2047.041      2069.845     -0.292430       2
    2318.151      1374.828     -0.301030       2
    2593.260      1373.255     -0.301030       2
    2319.476      1605.936     -0.309804       2
    2594.577      1604.363     -0.318759       2
    2868.369      1371.692     -0.327902       2
    3143.478      1370.137     -0.356547       2
    2869.679      1602.799     -0.346787       2
    3144.780      1601.245     -0.366532       2
    2320.801      1837.044     -0.318759       2
