Car survey data
Parameters for adjustment from linear analysis
    1.106700    -0.086800    !std and mean
    0.025408                 !variance of measurement errors
    1.125800    -0.080400    !std and mean
    0.008172                 !variance of measurement errors
    1.113400    -0.057100    !std and mean
    0.008649                 !variance of measurement errors
381         !Total number of data points
xloc        yloc        dose        landuse
      44.786      1235.592     -0.568636       1
      51.454      2345.090     -0.522879       1
      52.010      2437.511     -0.619789       1
      55.344      2992.260     -0.619789       1
      55.900      3084.748     -0.602060       1
     147.626        32.971     -0.552842       1
     148.180       125.436     -0.408935       1
     148.734       217.857     -0.337242       1
     149.289       310.345     -0.397940       1
     154.832      1234.932     -0.552842       1
     155.386      1327.353     -0.638272       1
     160.376      2159.476     -0.657577       1
     160.931      2251.963     -0.494850       1
     165.367      2991.600     -0.638272       1
     259.347       309.686     -0.420216       1
     259.900       402.151     -0.468521       1
     260.453       494.572     -0.494850       1
     261.006       587.060     -0.744727       1
     261.559       679.525     -0.552842       1
     262.112       771.946     -0.494850       1
     262.665       864.433     -0.619789       1
     263.218       956.899     -0.568636       1
     263.771      1049.320     -0.552842       1
     264.325      1141.807     -0.387216       1
     265.431      1326.694     -0.619789       1
     269.856      2066.395     -0.638272       1
     270.409      2158.817     -0.677781       1
     274.283      2806.053     -0.481486       1
     274.836      2898.519     -0.619789       1
     371.061       586.402     -0.769551       1
     371.612       678.867     -0.568636       1
     374.372      1141.150     -0.455932       1
     374.924      1233.615     -0.481486       1
     375.475      1326.036     -0.537602       1
     376.027      1418.524     -0.431798       1
     376.579      1510.989     -0.481486       1
     377.131      1603.410     -0.585027       1
     377.683      1695.898     -0.638272       1
     378.235      1788.363     -0.744727       1
     378.787      1880.785     -0.677781       1
     379.891      2065.738     -0.619789       2
     383.755      2712.908     -0.431798       1
     384.307      2805.396     -0.537602       1
     481.115       585.746     -0.795880       2
     481.666       678.211     -0.537602       2
     482.216       770.632     -0.602060       2
     482.767       863.120     -0.481486       2
     483.318       955.585     -0.619789       2
     486.071      1417.868     -0.552842       1
     488.274      1787.707     -0.698970       1
     488.824      1880.128     -0.795880       1
     489.375      1972.616     -0.769551       1
     489.926      2065.082     -0.744727       1
     490.476      2157.503     -0.744727       1
     491.027      2249.990     -0.698970       1
     492.680      2527.365     -0.494850       1
     493.231      2619.831     -0.508638       1
     493.781      2712.252     -0.494850       1
     591.170       585.091     -0.677781       1
     591.719       677.556     -0.468521       1
     592.268       769.977     -0.468521       1
     592.818       862.465     -0.522879       1
     596.114      1417.213     -0.552842       1
     598.312      1787.053     -0.602060       1
     601.060      2249.336     -0.522879       1
     601.609      2341.801     -0.585027       1
     602.159      2434.222     -0.602060       1
     602.708      2526.710     -0.537602       2
     603.258      2619.176     -0.522879       1
     613.702      4375.847     -0.853872       1
     614.252      4468.335     -0.744727       2
     614.801      4560.801     -0.698970       2
     617.001      4930.598     -0.677781       1
     701.224       584.438     -0.657577       1
     702.320       769.324     -0.522879       1
     706.158      1416.560     -0.468521       1
     708.350      1786.399     -0.677781       1
     708.899      1878.820     -0.619789       2
     711.640      2341.148     -0.585027       2
     712.188      2433.569     -0.677781       2
     713.285      2618.522     -0.494850       2
     713.833      2710.944     -0.508638       1
     714.382      2803.431     -0.481486       1
     714.930      2895.897     -0.585027       1
     715.478      2988.318     -0.823909       1
     716.027      3080.806     -0.677781       1
     716.575      3173.272     -0.657577       1
     723.705      4375.193     -0.619789       2
     811.278       583.786     -0.744727       1
     816.201      1415.908     -0.481486       1
     816.748      1508.373     -0.387216       1
     818.936      1878.169     -0.823909       1
     821.124      2248.031     -0.508638       2
     821.671      2340.496     -0.455932       2
     826.595      3172.620     -0.602060       2
     827.142      3265.041     -0.552842       1
     827.690      3357.529     -0.552842       1
     828.237      3449.995     -0.795880       2
     828.784      3542.416     -0.698970       2
     833.709      4374.542     -0.677781       2
     921.333       583.136     -0.677781       2
     925.153      1230.349     -0.267606       2
     925.698      1322.770     -0.366532       2
     926.244      1415.258     -0.537602       2
     926.790      1507.723     -0.443697       1
     928.973      1877.518     -0.823909       2
     929.519      1970.006     -0.853872       2
     930.065      2062.471     -0.638272       2
     930.610      2154.893     -0.602060       2
     931.156      2247.380     -0.721246       1
     938.799      3541.766     -0.769551       1
     939.345      3634.254     -0.721246       1
     939.891      3726.719     -0.744727       1
     940.437      3819.141     -0.677781       1
     943.713      4373.891     -0.744727       1
    1031.387       582.487     -0.619789       1
    1034.109      1044.747     -0.443697       1
    1034.654      1137.235     -0.508638       1
    1035.199      1229.700     -0.420216       1
    1036.832      1507.074     -0.443697       1
    1039.010      1876.869     -0.638272       1
    1039.555      1969.357     -0.769551       1
    1040.099      2061.823     -0.657577       1
    1048.814      3541.117     -0.619789       1
    1049.359      3633.605     -0.638272       1
    1050.448      3818.492     -0.795880       1
    1050.993      3910.980     -0.657577       1
    1051.538      4003.446     -0.744727       1
    1052.082      4095.867     -0.769551       2
    1052.627      4188.355     -0.568636       2
    1053.717      4373.242     -0.744727       1
    1141.442       581.840     -0.657577       1
    1143.615       951.679     -0.356547       1
    1144.158      1044.100     -0.481486       2
    1146.874      1506.427     -0.481486       2
    1147.417      1598.848     -0.522879       2
    1147.961      1691.336     -0.552842       1
    1148.504      1783.801     -0.468521       2
    1149.047      1876.222     -0.552842       2
    1149.591      1968.710     -0.853872       2
    1158.285      3448.048     -0.721246       2
    1158.829      3540.469     -0.602060       1
    1162.634      4187.707     -0.677781       1
    1163.177      4280.173     -0.823909       2
    1251.496       581.194     -0.537602       1
    1252.038       673.659     -0.638272       1
    1252.580       766.080     -0.522879       1
    1253.122       858.568     -0.619789       1
    1253.664       951.033     -0.387216       1
    1256.916      1505.781     -0.522879       1
    1257.458      1598.202     -0.537602       1
    1258.000      1690.690     -0.552842       1
    1258.542      1783.155     -0.468521       1
    1259.084      1875.576     -0.638272       1
    1267.759      3354.937     -0.619789       1
    1268.301      3447.402     -0.619789       1
    1361.551       580.550     -0.657577       1
    1366.958      1505.137     -0.585027       1
    1367.499      1597.558     -0.585027       1
    1368.040      1690.045     -0.585027       1
    1368.581      1782.511     -0.508638       1
    1377.235      3261.804     -0.657577       1
    1377.776      3354.292     -0.657577       1
    1471.605       579.907     -0.638272       1
