Land-use ID
100  100 !nx, ny
xgrid  ygrid  landuseID
    1      1      1
    1      2      1
    1      3      1
    1      4      1
    1      5      1
    1      6      1
    1      7      1
    1      8      1
    1      9      1
    1     10      1
    1     11      1
    1     12      1
    1     13      1
    1     14      1
    1     15      1
    1     16      1
    1     17      1
    1     18      1
    1     19      1
    1     20      1
    1     21      1
    1     22      1
    1     23      1
    1     24      2
    1     25      2
    1     26      2
    1     27      2
    1     28      2
    1     29      2
    1     30      2
    1     31      2
    1     32      2
    1     33      2
    1     34      2
    1     35      2
    1     36      2
    1     37      2
    1     38      2
    1     39      2
    1     40      1
    1     41      1
    1     42      1
    1     43      1
    1     44      1
    1     45      1
    1     46      1
    1     47      2
    1     48      2
    1     49      2
    1     50      2
    1     51      2
    1     52      2
    1     53      2
    1     54      2
    1     55      1
    1     56      1
    1     57      1
    1     58      1
    1     59      1
    1     60      1
    1     61      1
    1     62      1
    1     63      1
    1     64      1
    1     65      2
    1     66      2
    1     67      2
    1     68      2
    1     69      2
    1     70      2
    1     71      2
    1     72      2
    1     73      2
    1     74      2
    1     75      2
    1     76      2
    1     77      2
    1     78      2
    1     79      2
    1     80      2
    1     81      2
    1     82      2
    1     83      2
    1     84      2
    1     85      2
    1     86      2
    1     87      2
    1     88      2
    1     89      3
    1     90      3
    1     91      3
    1     92      3
    1     93      3
    1     94      3
    1     95      3
    1     96      3
    1     97      3
    1     98      3
    1     99      3
    1    100      3
    2      1      1
    2      2      1
    2      3      1
    2      4      1
    2      5      1
    2      6      1
    2      7      1
    2      8      1
    2      9      1
    2     10      1
    2     11      1
    2     12      1
    2     13      1
    2     14      1
    2     15      1
    2     16      1
    2     17      1
    2     18      1
    2     19      1
    2     20      1
    2     21      1
    2     22      1
    2     23      1
    2     24      1
    2     25      2
    2     26      2
    2     27      2
    2     28      2
    2     29      2
    2     30      2
    2     31      2
    2     32      2
    2     33      2
    2     34      2
    2     35      2
    2     36      2
    2     37      2
    2     38      2
    2     39      2
    2     40      1
    2     41      1
    2     42      1
    2     43      1
    2     44      1
    2     45      1
    2     46      1
    2     47      1
    2     48      2
    2     49      2
    2     50      2
    2     51      2
    2     52      2
    2     53      2
    2     54      2
    2     55      1
    2     56      1
    2     57      1
    2     58      1
    2     59      1
    2     60      1
    2     61      1
    2     62      1
    2     63      1
    2     64      1
    2     65      1
    2     66      2
    2     67      2
    2     68      2
    2     69      2
    2     70      2
    2     71      2
    2     72      2
    2     73      2
    2     74      2
    2     75      2
    2     76      2
    2     77      2
    2     78      2
    2     79      2
    2     80      2
    2     81      2
    2     82      2
    2     83      2
    2     84      2
    2     85      2
    2     86      2
    2     87      2
    2     88      2
    2     89      3
    2     90      3
    2     91      3
    2     92      3
    2     93      3
    2     94      3
    2     95      3
    2     96      3
    2     97      3
    2     98      3
    2     99      3
    2    100      3
    3      1      1
    3      2      1
    3      3      1
    3      4      1
    3      5      1
    3      6      1
    3      7      1
    3      8      1
    3      9      1
    3     10      1
    3     11      1
    3     12      1
    3     13      1
    3     14      1
    3     15      1
    3     16      1
    3     17      1
    3     18      1
    3     19      1
    3     20      1
    3     21      1
    3     22      1
    3     23      1
    3     24      1
    3     25      1
    3     26      2
    3     27      2
    3     28      2
    3     29      2
    3     30      2
    3     31      2
    3     32      2
    3     33      2
    3     34      2
    3     35      2
    3     36      2
    3     37      2
    3     38      1
    3     39      1
    3     40      1
    3     41      1
    3     42      1
    3     43      1
    3     44      1
    3     45      1
    3     46      1
    3     47      1
    3     48      1
    3     49      2
    3     50      2
    3     51      2
    3     52      2
    3     53      2
    3     54      2
    3     55      2
    3     56      1
    3     57      1
    3     58      1
    3     59      1
    3     60      1
    3     61      1
    3     62      1
    3     63      1
    3     64      1
    3     65      1
    3     66      2
    3     67      2
    3     68      2
    3     69      2
    3     70      2
    3     71      2
    3     72      2
    3     73      2
    3     74      2
    3     75      2
    3     76      2
    3     77      2
    3     78      2
    3     79      2
    3     80      2
    3     81      2
    3     82      2
    3     83      2
    3     84      2
    3     85      2
    3     86      2
    3     87      2
    3     88      2
    3     89      3
    3     90      3
    3     91      3
    3     92      3
    3     93      3
    3     94      3
    3     95      3
    3     96      3
    3     97      3
    3     98      3
    3     99      3
    3    100      3
    4      1      1
    4      2      1
    4      3      1
    4      4      1
    4      5      1
    4      6      1
    4      7      1
    4      8      1
    4      9      1
    4     10      1
    4     11      1
    4     12      1
    4     13      1
    4     14      1
    4     15      1
    4     16      1
    4     17      1
    4     18      1
    4     19      1
    4     20      1
    4     21      1
    4     22      1
    4     23      1
    4     24      1
    4     25      1
    4     26      2
    4     27      2
    4     28      2
    4     29      2
    4     30      2
    4     31      2
    4     32      1
    4     33      1
    4     34      1
    4     35      2
    4     36      1
    4     37      1
    4     38      1
    4     39      1
    4     40      1
    4     41      1
    4     42      1
    4     43      1
    4     44      1
    4     45      1
    4     46      1
    4     47      1
    4     48      1
    4     49      1
    4     50      2
    4     51      2
    4     52      2
    4     53      2
    4     54      2
    4     55      2
    4     56      2
    4     57      1
    4     58      1
    4     59      1
    4     60      1
    4     61      1
    4     62      1
    4     63      1
    4     64      1
    4     65      1
    4     66      1
    4     67      2
    4     68      2
    4     69      2
    4     70      2
    4     71      2
    4     72      2
    4     73      2
    4     74      2
    4     75      2
    4     76      2
    4     77      2
    4     78      2
    4     79      2
    4     80      2
    4     81      2
    4     82      2
    4     83      2
    4     84      2
    4     85      2
    4     86      2
    4     87      2
    4     88      2
    4     89      3
    4     90      3
    4     91      3
    4     92      3
    4     93      3
    4     94      3
    4     95      3
    4     96      3
    4     97      3
    4     98      3
    4     99      3
    4    100      3
    5      1      1
    5      2      1
    5      3      1
    5      4      1
    5      5      1
    5      6      1
    5      7      1
    5      8      1
    5      9      1
    5     10      1
    5     11      1
    5     12      1
    5     13      1
    5     14      1
    5     15      1
    5     16      1
    5     17      1
    5     18      1
    5     19      1
    5     20      1
    5     21      1
    5     22      1
    5     23      1
    5     24      1
    5     25      1
    5     26      2
    5     27      2
    5     28      2
    5     29      2
    5     30      2
    5     31      2
    5     32      1
    5     33      1
    5     34      1
    5     35      1
    5     36      1
    5     37      1
    5     38      1
    5     39      1
    5     40      1
    5     41      1
    5     42      1
    5     43      1
    5     44      1
    5     45      1
    5     46      1
    5     47      1
    5     48      1
    5     49      1
    5     50      1
    5     51      1
    5     52      2
    5     53      2
    5     54      2
    5     55      2
    5     56      2
    5     57      1
    5     58      1
    5     59      1
    5     60      1
    5     61      1
    5     62      1
    5     63      1
    5     64      1
    5     65      1
    5     66      1
    5     67      1
    5     68      2
    5     69      2
    5     70      2
    5     71      2
    5     72      2
    5     73      2
    5     74      2
    5     75      2
    5     76      2
    5     77      2
    5     78      2
    5     79      2
    5     80      2
    5     81      2
    5     82      2
    5     83      2
    5     84      2
    5     85      2
    5     86      2
    5     87      2
    5     88      2
    5     89      3
    5     90      3
    5     91      3
    5     92      3
    5     93      3
    5     94      3
    5     95      3
    5     96      3
    5     97      3
    5     98      3
    5     99      3
    5    100      3
    6      1      1
    6      2      1
    6      3      1
    6      4      1
    6      5      1
    6      6      1
    6      7      1
    6      8      1
    6      9      1
    6     10      1
    6     11      1
    6     12      1
    6     13      1
    6     14      1
    6     15      1
    6     16      1
    6     17      1
    6     18      1
    6     19      1
    6     20      1
    6     21      1
    6     22      1
    6     23      1
    6     24      1
    6     25      1
    6     26      2
    6     27      2
    6     28      2
    6     29      2
    6     30      2
    6     31      2
    6     32      1
    6     33      1
    6     34      1
    6     35      1
    6     36      1
    6     37      1
    6     38      1
    6     39      1
    6     40      1
    6     41      1
    6     42      1
    6     43      1
    6     44      1
    6     45      1
    6     46      1
    6     47      1
    6     48      1
    6     49      1
    6     50      1
    6     51      1
    6     52      1
    6     53      2
    6     54      2
    6     55      2
    6     56      2
    6     57      2
    6     58      1
    6     59      1
    6     60      1
    6     61      1
    6     62      1
    6     63      1
    6     64      1
    6     65      1
    6     66      1
    6     67      1
    6     68      1
    6     69      2
    6     70      2
    6     71      2
    6     72      2
    6     73      2
    6     74      2
    6     75      2
    6     76      2
    6     77      2
    6     78      2
    6     79      2
    6     80      2
    6     81      2
    6     82      2
    6     83      2
    6     84      2
    6     85      2
    6     86      2
    6     87      2
    6     88      2
    6     89      3
    6     90      3
    6     91      3
    6     92      3
