Walking survey data
390         !Total number of data points
xloc        yloc        dose        landuse
    1102.898        16.205     -0.385229       1
    1103.115        53.195     -0.405628       1
    1104.529       293.578     -0.488242       1
    1104.637       312.040     -0.512513       1
    1126.975       367.386     -0.524392       1
    1127.192       404.399     -0.722831       1
    1127.518       459.873     -0.562527       1
    1127.844       515.348     -0.630844       1
    1128.062       552.338     -0.429038       1
    1169.044        34.279     -0.347792       1
    1169.152        52.808     -0.339201       1
    1170.564       293.191     -0.655608       1
    1170.672       311.652     -0.645215       1
    1170.998       367.127     -0.452697       1
    1171.215       404.140     -0.433084       1
    1193.552       459.485     -0.410279       1
    1150.181       570.693     -0.476712       1
    1194.528       625.910     -0.455797       1
    1213.068        34.021     -0.423818       1
    1213.177        52.549     -0.386096       1
    1214.804       329.923     -0.431279       1
    1215.129       385.397     -0.313140       1
    1215.346       422.344     -0.375699       1
    1215.563       459.356     -0.341228       1
    1215.888       514.831     -0.482902       1
    1216.105       551.822     -0.390325       1
    1216.431       607.296     -0.472370       1
    1216.756       662.771     -0.626919       1
    1217.082       718.246     -0.446822       1
    1239.309       755.063     -0.498241       1
    1239.634       810.538     -0.574473       1
    1217.949       866.141     -0.570846       1
    1256.985        15.301     -0.469068       1
    1258.827       329.665     -0.418261       1
    1259.152       385.139     -0.313829       1
    1259.369       422.085     -0.197573       1
    1281.705       477.431     -0.384050       1
    1260.236       570.048     -0.441559       1
    1261.428       773.462     -0.477556       1
    1261.969       865.883     -0.355609       1
    1301.010        15.043     -0.499470       1
    1302.850       329.407     -0.408172       1
    1303.066       366.353     -0.352155       1
    1325.295       403.237     -0.313170       1
    1347.630       458.583     -0.310797       1
    1348.171       551.048     -0.430256       1
    1349.902       846.906     -0.114639       1
    1305.990       865.625     -0.173723       1
    1367.047        14.656     -0.410092       1
    1369.101       365.967     -0.304504       1
    1391.329       402.851     -0.315859       1
    1391.653       458.325     -0.313661       1
    1370.182       550.919     -0.451920       1
    1393.922       846.648     -0.126679       1
    1350.010       865.368     -0.133713       1
    1434.487       254.631     -0.357160       1
    1413.124       365.709     -0.377691       1
    1413.664       458.197     -0.368089       1
    1414.204       550.662     -0.395801       1
    1437.079       698.429     -0.179142       1
    1437.187       716.958     -0.102800       1
    1437.403       753.904     -0.031982       1
    1437.835       827.907     -0.178252       1
    1455.096        14.142     -0.513840       1
    1455.312        51.133     -0.355843       1
    1456.499       254.503     -0.328633       1
    1456.823       309.978     -0.449938       1
    1457.147       365.452     -0.303418       1
    1457.363       402.465     -0.311679       1
    1457.686       457.940     -0.389529       1
    1458.226       550.405     -0.364892       1
    1459.089       698.301     -0.156626       1
    1459.521       772.304     -0.444823       1
    1459.737       809.250     -0.310665       1
    1500.523       254.246     -0.490582       1
    1500.846       309.721     -0.449989       1
    1501.170       365.195     -0.322385       1
    1501.385       402.208     -0.313259       1
    1501.709       457.683     -0.421301       1
    1524.043       513.029     -0.494340       1
    1502.356       568.632     -0.477979       1
    1503.110       698.044     -0.149084       1
    1503.542       772.047     -0.397951       1
    1503.973       846.006     -0.581531       1
    1566.989       327.865     -0.372194       1
    1567.204       364.811     -0.342772       1
    1567.420       401.823     -0.340674       1
    1567.743       457.298     -0.247952       1
    1568.281       549.763     -0.521904       1
    1568.389       568.248     -0.508828       1
    1569.035       679.197     -0.110874       1
    1569.573       771.662     -0.629491       1
    1591.906       827.009     -0.595630       1
    1611.012       327.608     -0.519646       1
    1611.227       364.554     -0.236947       1
    1611.657       438.558     -0.437887       1
    1612.303       549.507     -0.497232       1
    1612.410       567.991     -0.430289       1
    1613.056       678.941     -0.142974       1
    1613.594       771.406     -0.549477       1
    1613.917       826.881     -0.560881       1
    1675.220        12.861     -0.430670       1
    1675.543        68.335     -0.402857       1
    1675.758       105.326     -0.338063       1
    1676.080       160.800     -0.344370       1
    1676.402       216.275     -0.445610       1
    1676.617       253.221     -0.424353       1
    1676.939       308.696     -0.379284       1
    1655.250       364.298     -0.326869       1
    1677.476       401.183     -0.261283       1
    1699.810       456.530     -0.374334       1
    1656.217       530.723     -0.453426       1
    1656.432       567.735     -0.396856       1
    1678.873       641.544     -0.500313       1
    1678.980       660.073     -0.149942       1
    1720.318       197.491     -0.484581       1
    1720.640       252.966     -0.416457       1
    1742.974       308.313     -0.436386       1
    1721.284       363.915     -0.402934       1
    1721.499       400.928     -0.416671       1
    1721.928       474.864     -0.409052       1
    1700.132       512.005     -0.454910       1
    1700.454       567.480     -0.340620       1
    1700.669       604.470     -0.284286       1
    1700.991       659.945     -0.464324       1
    1701.313       715.420     -0.650107       1
    1723.538       752.238     -0.584257       1
    1746.300       881.588     -0.640165       1
    1724.612       937.191     -0.436610       1
    1724.719       955.675     -0.191586       1
    1764.342       197.235     -0.366086       1
    1764.878       289.723     -0.422135       1
    1765.200       345.198     -0.400830       1
    1765.415       382.188     -0.444065       1
    1765.629       419.134     -0.418724       1
    1765.951       474.609     -0.517909       1
    1766.272       530.084     -0.479853       1
    1767.559       751.983     -0.408311       1
    1789.891       807.330     -0.520317       1
    1768.202       862.932     -0.510042       1
    1768.739       955.420     -0.281106       1
    1808.366       196.980     -0.330260       1
    1808.902       289.468     -0.451830       1
    1831.020       307.802     -0.397657       1
    1809.437       381.933     -0.394206       1
    1809.651       418.879     -0.453998       1
    1831.877       455.764     -0.529772       1
    1832.198       511.239     -0.453927       1
    1833.269       696.125     -0.489455       1
    1833.376       714.654     -0.520818       1
    1811.580       751.727     -0.500043       1
    1811.901       807.202     -0.268430       1
    1812.758       955.164     -0.218302       1
    1852.390       196.725     -0.464706       1
    1852.497       215.254     -0.412563       1
    1852.711       252.200     -0.398912       1
    1853.032       307.675     -0.424928       1
    1853.353       363.149     -0.410492       1
    1853.567       400.162     -0.331754       1
    1853.888       455.637     -0.258886       1
    1854.316       529.574     -0.453494       1
    1898.659       584.794     -0.442493       1
    1898.766       603.322     -0.335572       1
    1855.066       659.052     -0.400535       1
    1855.387       714.526     -0.494655       1
    1855.922       806.947     -0.382957       1
    1856.778       954.909     -0.292948       1
    1919.387       362.768     -0.508220       1
    1920.136       492.246     -0.534169       1
    1920.243       510.730     -0.489973       1
    1920.563       566.204     -0.383363       1
    1920.777       603.195     -0.420935       1
    1921.311       695.616     -0.687653       1
    1921.418       714.144     -0.621602       1
    1921.953       806.565     -0.320612       1
    1900.263       862.167     -0.458392       1
    1900.584       917.642     -0.464870       1
    1900.798       954.655     -0.253900       1
    1963.410       362.513     -0.399918       1
    1963.731       417.988     -0.369847       1
    1963.944       455.001     -0.420798       1
    1964.265       510.475     -0.570703       1
    1964.585       565.950     -0.112463       1
    1964.799       602.941     -0.138466       1
    1965.332       695.361     -0.674574       1
    1965.973       806.311     -0.341143       1
    1966.721       935.789     -0.496560       1
    1988.838       954.146     -0.335358       1
    2030.298       510.094     -0.693223       1
    2031.044       639.506     -0.679854       1
    2009.140       658.161     -0.706708       1
    2009.460       713.636     -0.628811       1
    2031.684       750.455     -0.512325       1
    2010.207       843.070     -0.379774       1
    2010.741       935.535     -0.553741       1
    2010.847       954.019     -0.237276       1
    2074.320       509.841     -0.804136       1
    2075.066       639.252     -0.237549       1
    2053.375       694.853     -0.715109       1
    2053.588       731.866     -0.649327       1
    2053.801       768.857     -0.436050       1
    2054.441       879.806     -0.290227       1
    2054.654       916.752     -0.353667       1
    2054.867       953.765     -0.285304       1
    2118.342       509.587     -0.537860       1
    2119.087       638.998     -0.276544       1
    2119.194       657.527     -0.594436       1
    2119.513       713.002     -0.602136       1
    2119.832       768.476     -0.353385       1
    2120.897       953.385     -0.264815       1
    2161.620       379.900     -0.342595       1
    2161.939       435.375     -0.460654       1
    2162.045       453.859     -0.528344       1
    2162.364       509.334     -0.477114       1
    2163.959       786.707     -0.352685       1
    2164.916       953.132     -0.332014       1
    2205.643       379.647     -0.597059       1
    2205.855       416.593     -0.465739       1
    2206.068       453.606     -0.248356       1
    2206.386       509.081     -0.417937       1
    2207.980       786.454     -0.361642       1
    2208.936       952.878     -0.452597       1
    2252.001       786.201     -0.525982       1
    2274.329       841.550     -0.428113       1
    2274.435       860.012     -0.418881       1
    2274.753       915.487     -0.613107       1
    2252.956       952.626     -0.469065       1
    2428.512      4705.551     -0.640165       1
    2493.877      4594.223     -0.835647       1
    2493.982      4612.707     -0.671876       1
    2472.300      4668.308     -0.549298       1
    2450.512      4705.425     -0.664315       1
    2450.829      4760.900     -0.576017       1
    2473.146      4816.249     -0.592595       1
